track_name	track_id	duration_ms	album_name	release_date	label	album_popularity	album_id	artist_id	duration_sec
Amazing Grace	6mN8nzCXWUeT5LWEcG1Utx	555521	Deep Peace Experience	2015-06-09 00:00:00 UTC	Mountain Music Inc	6	3VoHMFQzFr9v163HXRvfo2	002nyxOMwdc9EgNEo7ETcF	555.521
Silent Night	58sgjtx3FOnBBEOd3BQE6C	535041	Deep Peace Experience	2015-06-09 00:00:00 UTC	Mountain Music Inc	6	3VoHMFQzFr9v163HXRvfo2	002nyxOMwdc9EgNEo7ETcF	535.041
Ancient Canyons	45tQJhm0WSk5VWMZK3FsLK	545855	Deep Peace Experience	2015-06-09 00:00:00 UTC	Mountain Music Inc	6	3VoHMFQzFr9v163HXRvfo2	002nyxOMwdc9EgNEo7ETcF	545.855
Pacha Mama Medicina	3VFD7QqkJSg0OR6yBwKl7A	305241	Deep Peace Experience	2015-06-09 00:00:00 UTC	Mountain Music Inc	6	3VoHMFQzFr9v163HXRvfo2	002nyxOMwdc9EgNEo7ETcF	305.241
Palace Of Light	7LwJV5BEIC9BQnzvaBSyCc	351060	Deep Peace Experience	2015-06-09 00:00:00 UTC	Mountain Music Inc	6	3VoHMFQzFr9v163HXRvfo2	002nyxOMwdc9EgNEo7ETcF	351.06
Jeweled Lotus (Om Mani Peme Hum)	3I9hXJVjdNYnNfJ5PjgxKA	562887	Deep Peace Experience	2015-06-09 00:00:00 UTC	Mountain Music Inc	6	3VoHMFQzFr9v163HXRvfo2	002nyxOMwdc9EgNEo7ETcF	562.887
Loka (May All Beings Be Happy)	0K3bvVuJZTrhK8S4yT9Z7g	417908	Deep Peace Experience	2015-06-09 00:00:00 UTC	Mountain Music Inc	6	3VoHMFQzFr9v163HXRvfo2	002nyxOMwdc9EgNEo7ETcF	417.908
Shiva Radiance (I Am That I Am)	3Vke9b8vKfG5evYn5vcDvW	553509	Deep Peace Experience	2015-06-09 00:00:00 UTC	Mountain Music Inc	6	3VoHMFQzFr9v163HXRvfo2	002nyxOMwdc9EgNEo7ETcF	553.509
Dream Healing	0z2oH4GgrXdWE0FicrIwYs	581434	Deep Peace Experience	2015-06-09 00:00:00 UTC	Mountain Music Inc	6	3VoHMFQzFr9v163HXRvfo2	002nyxOMwdc9EgNEo7ETcF	581.434
See The World Burn	6cCOUBWo2uSz8Eio8ztDSh	164217	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	164.217
Black Sands	6T0w8wrJhIMiBqVmC4UhrV	151287	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	151.287
Squad Goals	1RDxImYrRLV8gpL5J1eeO9	257977	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	257.977
All Gold	3UYPhAxyuc7XTQX0RTaMqj	130462	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	130.462
Gladiators	5rVuUcCfe2SBd0I1YthDP6	216503	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	216.503
Power	5sRZJDjMfqeGqzcf7VLLeD	213052	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	213.052
Bright Side	4zpLDzxAl6ZwaeWzL20ZXM	210557	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	210.557
Rumble In Kerma	62vwux2aauHam2wQKJG4HI	171977	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	171.977
The Coin	1sgVXkabERazto6ePY7c4e	243664	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	243.664
Kings And Queens	3yGRnVDOx6PqFjrC460dpZ	195084	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	195.084
Reign	3CqlwRGISC92ue2s9WklIT	261256	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	261.256
King'S Calling	0Z7ZrD4pFJ6TJLT5NfGBFb	248471	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	248.471
Rah	6icLovKH6BSmjZSgqRcYwW	149886	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	149.886
Fire	5VIJ35Rs3wPW4upxeuOFkX	205500	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	205.5
Drifting	5ZZEw2b6ueFJhRVBGtFRAz	216000	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	216
One Rainy Wish	2jSAf3FaQHwja43LWHRfWd	327250	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	327.25
Little Wing	4Hxnw9L9wB15zFiOsQj9Ar	270000	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	270
Wait Until Tomorrow	7M73rJqYwzbw8jaqNsWLpf	219250	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	219.25
Castles Made Of Sand	4qgwgJkuGvuqZT0c6IvKxK	254250	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	254.25
Come On (Part 1)	7cud5rA0hyblSaXCxV3FiR	198500	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	198.5
